rede,,TP,FP,TN,FN,AUROC,F1,accuracy,precision,recall/sensitivity,specificity
EfficientNetB0,,696,23,699,9,0.9983,0.97753,0.97758,0.9680,0.9872,0.9681
EfficientNetB4,,703,17,705,2,0.9991,0.9867,0.9867,0.9764,0.9972,0.9765
DenseNet201,,689,6,716,16,0.9993,0.9843,0.9846,0.9914,0.9773,0.9917
InceptionResNetV2,,631,4,718,74,0.9950,0.9418,0.9453,0.9937,0.8950,0.9945
MobileNetV2,,697,10,712,8,0.9987,0.9873,0.9874,0.9859,0.9887,0.9861
NASNetLarge,,698,4,718,7,0.9986,0.9922,0.9923,0.9943,0.9901,0.9945
ResNet50V2,,677,3,719,28,0.9981,0.9776,0.9783,0.9956,0.9603,0.9958
VGG16,,699,4,718,6,0.9996,0.9929,0.9930,0.9943,0.9915,0.9945
VGG19,,699,13,709,6,0.9992,0.9866,0.9867,0.9817,0.9915,0.982



DenseNet201,0.0001,690,31,691,15,0.9962,0.9677,0.9678,0.957,0.9787,0.9571
DenseNet201,0.0003,689,33,689,16,0.996,0.9657,0.9657,0.9543,0.9773,0.9543
DenseNet201,0.0005,692,35,687,13,0.9957,0.9665,0.9664,0.9519,0.9816,0.9515
DenseNet201,0.0007,692,36,686,13,0.9954,0.9658,0.9657,0.9505,0.9816,0.9501
DenseNet201,0.0009,692,38,684,13,0.995,0.9645,0.9643,0.9479,0.9816,0.9474
DenseNet201,0.001,691,40,682,14,0.9948,0.9624,0.9622,0.9453,0.9801,0.9446
DenseNet201,0.003,699,149,573,6,0.9888,0.9002,0.8914,0.8243,0.9915,0.7936
DenseNet201,0.005,703,399,323,2,0.9802,0.7781,0.719,0.6379,0.9972,0.4474
DenseNet201,0.007,705,625,97,0,0.9691,0.6929,0.562,0.5301,1.0,0.1343
DenseNet201,0.009,705,708,14,0,0.9588,0.6657,0.5039,0.4989,1.0,0.0194
DenseNet201,0.01,705,715,7,0,0.9551,0.6635,0.4989,0.4965,1.0,0.0097
DenseNet201,0.02,705,722,0,0,0.926,0.6614,0.494,0.494,1.0,0
DenseNet201,0.05,705,722,0,0,0.5201,0.6614,0.494,0.494,1.0,0
DenseNet201,0.08,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0



MobileNetV2,0.0001,694,233,489,11,0.9816,0.8505,0.829,0.7487,0.9844,0.6773
MobileNetV2,0.0003,693,283,439,12,0.9802,0.8245,0.7933,0.71,0.983,0.608
MobileNetV2,0.0005,698,334,388,7,0.9823,0.8037,0.761,0.6764,0.9901,0.5374
MobileNetV2,0.0007,701,396,326,4,0.9854,0.778,0.7197,0.639,0.9943,0.4515
MobileNetV2,0.0009,703,454,268,2,0.9887,0.7551,0.6804,0.6076,0.9972,0.3712
MobileNetV2,0.001,703,484,238,2,0.9895,0.7431,0.6594,0.5922,0.9972,0.3296
MobileNetV2,0.003,705,709,13,0,0.9766,0.6654,0.5032,0.4986,1.0,0.018
MobileNetV2,0.005,705,722,0,0,0.9133,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.007,705,722,0,0,0.7797,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.009,705,722,0,0,0.5988,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.01,705,722,0,0,0.5508,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.02,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.05,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0
MobileNetV2,0.08,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0



NASNetLarge,0.0001,705,169,553,0,0.998,0.893,0.8816,0.8066,1.0,0.7659
NASNetLarge,0.0003,705,174,548,0,0.9981,0.8902,0.8781,0.802,1.0,0.759
NASNetLarge,0.0005,705,183,539,0,0.9981,0.8851,0.8718,0.7939,1.0,0.7465
NASNetLarge,0.0007,705,192,530,0,0.9982,0.8801,0.8655,0.786,1.0,0.7341
NASNetLarge,0.0009,705,210,512,0,0.9982,0.8704,0.8528,0.7705,1.0,0.7091
NASNetLarge,0.001,705,218,504,0,0.9982,0.8661,0.8472,0.7638,1.0,0.6981
NASNetLarge,0.003,705,587,135,0,0.992,0.7061,0.5886,0.5457,1.0,0.187
NASNetLarge,0.005,705,693,29,0,0.9358,0.6705,0.5144,0.5043,1.0,0.0402
NASNetLarge,0.007,705,700,22,0,0.8524,0.6682,0.5095,0.5018,1.0,0.0305
NASNetLarge,0.009,705,702,20,0,0.7735,0.6676,0.5081,0.5011,1.0,0.0277
NASNetLarge,0.01,705,702,20,0,0.7352,0.6676,0.5081,0.5011,1.0,0.0277
NASNetLarge,0.02,705,715,7,0,0.5194,0.6635,0.4989,0.4965,1.0,0.0097
NASNetLarge,0.05,705,722,0,0,0.5007,0.6614,0.494,0.494,1.0,0



ResNet50V2,0.0001,693,59,663,12,0.9931,0.9513,0.9502,0.9215,0.983,0.9183
ResNet50V2,0.0003,693,65,657,12,0.9927,0.9474,0.946,0.9142,0.983,0.91
ResNet50V2,0.0005,693,68,654,12,0.9922,0.9454,0.9439,0.9106,0.983,0.9058
ResNet50V2,0.0007,693,73,649,12,0.9918,0.9422,0.9404,0.9047,0.983,0.8989
ResNet50V2,0.0009,693,80,642,12,0.9912,0.9378,0.9355,0.8965,0.983,0.8892
