folder,image_name,label
COVID/,COVID-2065,1
COVID/,COVID-1559,1
COVID/,COVID-3129,1
COVID/,COVID-1763,1
COVID/,COVID-2912,1
COVID/,COVID-1618,1
COVID/,COVID-775,1
COVID/,COVID-2208,1
COVID/,COVID-670,1
COVID/,COVID-2154,1
COVID/,COVID-593,1
COVID/,COVID-2970,1
COVID/,COVID-3367,1
COVID/,COVID-1594,1
COVID/,COVID-827,1
COVID/,COVID-255,1
COVID/,COVID-1233,1
COVID/,COVID-357,1
COVID/,COVID-3038,1
COVID/,COVID-3556,1
COVID/,COVID-2926,1
COVID/,COVID-88,1
COVID/,COVID-1250,1
COVID/,COVID-2564,1
COVID/,COVID-2168,1
COVID/,COVID-3573,1
COVID/,COVID-475,1
COVID/,COVID-678,1
COVID/,COVID-906,1
COVID/,COVID-3389,1
COVID/,COVID-855,1
COVID/,COVID-1219,1
COVID/,COVID-49,1
COVID/,COVID-1614,1
COVID/,COVID-358,1
COVID/,COVID-970,1
COVID/,COVID-1629,1
COVID/,COVID-316,1
COVID/,COVID-2796,1
COVID/,COVID-536,1
COVID/,COVID-3347,1
COVID/,COVID-3469,1
COVID/,COVID-3480,1
COVID/,COVID-3577,1
COVID/,COVID-1030,1
COVID/,COVID-308,1
COVID/,COVID-706,1
COVID/,COVID-3263,1
COVID/,COVID-48,1
COVID/,COVID-1360,1
COVID/,COVID-1999,1
COVID/,COVID-2393,1
COVID/,COVID-422,1
COVID/,COVID-3337,1
COVID/,COVID-1706,1
COVID/,COVID-563,1
COVID/,COVID-1694,1
COVID/,COVID-1195,1
COVID/,COVID-2573,1
COVID/,COVID-640,1
COVID/,COVID-259,1
COVID/,COVID-2595,1
COVID/,COVID-2204,1
COVID/,COVID-1082,1
COVID/,COVID-426,1
COVID/,COVID-2465,1
COVID/,COVID-1758,1
COVID/,COVID-2780,1
COVID/,COVID-2307,1
COVID/,COVID-1456,1
COVID/,COVID-1196,1
COVID/,COVID-1031,1
COVID/,COVID-29,1
COVID/,COVID-1937,1
COVID/,COVID-2338,1
COVID/,COVID-1826,1
COVID/,COVID-903,1
COVID/,COVID-796,1
COVID/,COVID-1229,1
COVID/,COVID-3247,1
COVID/,COVID-2467,1
COVID/,COVID-2601,1
COVID/,COVID-622,1
COVID/,COVID-473,1
COVID/,COVID-2654,1
COVID/,COVID-1749,1
COVID/,COVID-3473,1
COVID/,COVID-2251,1
COVID/,COVID-3144,1
COVID/,COVID-2091,1
COVID/,COVID-1747,1
COVID/,COVID-2159,1
COVID/,COVID-1076,1
COVID/,COVID-3511,1
COVID/,COVID-2516,1
COVID/,COVID-2089,1
COVID/,COVID-1123,1
COVID/,COVID-996,1
COVID/,COVID-1102,1
COVID/,COVID-2263,1
COVID/,COVID-2094,1
COVID/,COVID-891,1
COVID/,COVID-1942,1
COVID/,COVID-3342,1
COVID/,COVID-248,1
COVID/,COVID-1789,1
COVID/,COVID-2775,1
COVID/,COVID-1185,1
COVID/,COVID-2021,1
COVID/,COVID-311,1
COVID/,COVID-3466,1
COVID/,COVID-3227,1
COVID/,COVID-261,1
COVID/,COVID-59,1
COVID/,COVID-3557,1
COVID/,COVID-2808,1
COVID/,COVID-1569,1
COVID/,COVID-1120,1
COVID/,COVID-455,1
COVID/,COVID-2029,1
COVID/,COVID-2163,1
COVID/,COVID-781,1
COVID/,COVID-1929,1
COVID/,COVID-2927,1
COVID/,COVID-1835,1
COVID/,COVID-2563,1
COVID/,COVID-58,1
COVID/,COVID-2787,1
COVID/,COVID-986,1
COVID/,COVID-2003,1
COVID/,COVID-954,1
COVID/,COVID-3124,1
COVID/,COVID-1039,1
COVID/,COVID-1878,1
COVID/,COVID-193,1
COVID/,COVID-1202,1
COVID/,COVID-2433,1
COVID/,COVID-2060,1
COVID/,COVID-2002,1
COVID/,COVID-2942,1
COVID/,COVID-3087,1
COVID/,COVID-1053,1
COVID/,COVID-1388,1
COVID/,COVID-2882,1
COVID/,COVID-136,1
COVID/,COVID-1473,1
COVID/,COVID-603,1
COVID/,COVID-330,1
COVID/,COVID-2993,1
COVID/,COVID-2079,1
COVID/,COVID-3106,1
COVID/,COVID-1118,1
COVID/,COVID-2576,1
COVID/,COVID-2253,1
COVID/,COVID-908,1
COVID/,COVID-1713,1
COVID/,COVID-2695,1
COVID/,COVID-564,1
COVID/,COVID-3559,1
COVID/,COVID-3420,1
COVID/,COVID-512,1
COVID/,COVID-614,1
COVID/,COVID-2330,1
COVID/,COVID-1416,1
COVID/,COVID-1198,1
COVID/,COVID-221,1
COVID/,COVID-2024,1
COVID/,COVID-1392,1
COVID/,COVID-3111,1
COVID/,COVID-188,1
COVID/,COVID-2498,1
COVID/,COVID-688,1
COVID/,COVID-486,1
COVID/,COVID-2226,1
COVID/,COVID-1440,1
COVID/,COVID-3152,1
COVID/,COVID-788,1
COVID/,COVID-773,1
COVID/,COVID-1783,1
COVID/,COVID-2642,1
COVID/,COVID-467,1
COVID/,COVID-176,1
COVID/,COVID-1819,1
COVID/,COVID-142,1
COVID/,COVID-3352,1
COVID/,COVID-2190,1
COVID/,COVID-2749,1
COVID/,COVID-1489,1
COVID/,COVID-2191,1
COVID/,COVID-3254,1
COVID/,COVID-940,1
COVID/,COVID-2591,1
COVID/,COVID-1737,1
COVID/,COVID-2737,1
COVID/,COVID-1595,1
COVID/,COVID-1687,1
COVID/,COVID-3071,1
COVID/,COVID-1375,1
COVID/,COVID-2502,1
COVID/,COVID-2451,1
COVID/,COVID-1464,1
COVID/,COVID-1924,1
COVID/,COVID-771,1
COVID/,COVID-2663,1
COVID/,COVID-858,1
COVID/,COVID-1404,1
COVID/,COVID-2209,1
COVID/,COVID-2895,1
COVID/,COVID-2794,1
COVID/,COVID-2349,1
COVID/,COVID-1077,1
COVID/,COVID-3005,1
COVID/,COVID-99,1
COVID/,COVID-1105,1
COVID/,COVID-1148,1
COVID/,COVID-3372,1
COVID/,COVID-1877,1
COVID/,COVID-89,1
COVID/,COVID-2261,1
COVID/,COVID-1221,1
COVID/,COVID-696,1
COVID/,COVID-2332,1
COVID/,COVID-2468,1
COVID/,COVID-380,1
COVID/,COVID-2504,1
COVID/,COVID-3098,1
COVID/,COVID-1689,1
COVID/,COVID-2383,1
COVID/,COVID-1915,1
COVID/,COVID-3120,1
COVID/,COVID-1508,1
COVID/,COVID-365,1
COVID/,COVID-2239,1
COVID/,COVID-1177,1
COVID/,COVID-151,1
COVID/,COVID-3545,1
COVID/,COVID-1914,1
COVID/,COVID-1271,1
COVID/,COVID-1011,1
COVID/,COVID-500,1
COVID/,COVID-1340,1
COVID/,COVID-232,1
COVID/,COVID-3310,1
COVID/,COVID-1254,1
COVID/,COVID-2798,1
COVID/,COVID-3179,1
COVID/,COVID-2552,1
COVID/,COVID-2162,1
COVID/,COVID-1898,1
COVID/,COVID-3382,1
COVID/,COVID-2891,1
COVID/,COVID-2064,1
COVID/,COVID-3259,1
COVID/,COVID-1978,1
COVID/,COVID-1873,1
COVID/,COVID-669,1
COVID/,COVID-3242,1
COVID/,COVID-3190,1
COVID/,COVID-2863,1
COVID/,COVID-600,1
